time: 2000000000
128 44 5000001
128 45 5000001
128 46 5000001
128 47 5000001
128 48 5000001
128 49 5000001
128 50 5000001
128 51 5000001
128 52 5000001
128 53 5000001
128 54 5000001
128 55 5000001
128 56 5000001
128 57 5000001
128 58 5000001
128 59 5000001
128 60 5000001
128 61 5000001
128 62 5000001
128 63 5000001
128 64 5000001
128 65 5000001
129 1 5000001
129 2 5000001
129 3 5000001
129 4 5000001
129 5 5000001
129 6 5000001
129 7 5000001
129 8 5000001
129 9 5000001
129 10 5000001
129 11 5000001
129 12 5000001
129 13 5000001
129 14 5000001
129 15 5000001
129 16 5000001
129 17 5000001
129 18 5000001
129 19 5000001
129 20 5000001
129 21 5000001
129 22 5000001
129 23 5000001
129 24 5000001
129 25 5000001
129 26 5000001
129 27 5000001
129 28 5000001
129 29 5000001
129 30 5000001
129 31 5000001
129 32 5000001
129 33 5000001
129 34 5000001
129 35 5000001
129 36 5000001
129 37 5000001
129 38 5000001
129 39 5000001
129 40 5000001
129 41 5000001
129 42 5000001
129 43 5000001
129 44 5000001
129 45 5000001
129 46 5000001
129 47 5000001
129 48 5000001
129 49 5000001
129 50 5000001
129 51 5000001
129 52 5000001
129 53 5000001
129 54 5000001
129 55 5000001
129 56 5000001
129 57 5000001
129 58 5000001
129 59 5000001
129 60 5000001
129 61 5000001
129 62 5000001
129 63 5000001
129 64 5000001
129 65 5000001
time: 2600000000
128 1 6000001
128 2 6000001
128 3 6000001
128 4 6000001
128 5 6000001
128 6 6000001
128 7 6000001
128 8 6000001
128 9 6000001
128 10 6000001
128 11 6000001
128 12 6000001
128 13 6000001
128 14 6000001
128 15 6000001
128 16 6000001
128 17 6000001
128 18 6000001
128 19 6000001
128 20 6000001
128 21 6000001
128 22 6000001
128 23 6000001
128 24 6000001
128 25 6000001
128 26 6000001
128 27 6000001
128 28 6000001
128 29 6000001
128 30 6000001
128 31 6000001
128 32 6000001
128 33 6000001
128 34 6000001
128 35 6000001
128 36 6000001
128 37 6000001
128 38 6000001
128 39 6000001
128 40 6000001
128 41 6000001
128 42 6000001
128 43 6000001
128 44 6000001
128 45 6000001
128 46 6000001
128 47 6000001
128 48 6000001
128 49 6000001
128 50 6000001
128 51 6000001
128 52 6000001
128 53 6000001
128 54 6000001
128 55 6000001
128 56 6000001
128 57 6000001
128 58 6000001
128 59 6000001
128 60 6000001
128 61 6000001
128 62 6000001
128 63 6000001
128 64 6000001
128 65 6000001
129 1 6000001
129 2 6000001
129 3 6000001
129 4 6000001
129 5 6000001
129 6 6000001
129 7 6000001
129 8 6000001
129 9 6000001
129 10 6000001
129 11 6000001
129 12 6000001
129 13 6000001
129 14 6000001
129 15 6000001
129 16 6000001
129 17 6000001
129 18 6000001
129 19 6000001
129 20 6000001
129 21 6000001
129 22 6000001
129 23 6000001
129 24 6000001
129 25 6000001
129 26 6000001
129 27 6000001
129 28 6000001
129 29 6000001
129 30 6000001
129 31 6000001
129 32 6000001
129 33 6000001
129 34 6000001
129 35 6000001
129 36 6000001
129 37 6000001
129 38 6000001
129 39 6000001
129 40 6000001
129 41 6000001
129 42 6000001
129 43 6000001
129 44 6000001
129 45 6000001
129 46 6000001
129 47 6000001
129 48 6000001
129 49 6000001
129 50 6000001
129 51 6000001
129 52 6000001
129 53 6000001
129 54 6000001
129 55 6000001
129 56 6000001
129 57 6000001
129 58 6000001
129 59 6000001
129 60 6000001
129 61 6000001
129 62 6000001
129 63 6000001
129 64 6000001
129 65 6000001
time: 2700000000
128 1 7000001
128 2 7000001
128 3 7000001
128 4 7000001
128 5 7000001
128 6 7000001
128 7 7000001
128 8 7000001
128 9 7000001
128 10 7000001
128 11 7000001
128 12 7000001
128 13 7000001
128 14 7000001
128 15 7000001
128 16 7000001
128 17 7000001
128 18 7000001
128 19 7000001
128 20 7000001
128 21 7000001
128 22 7000001
128 23 7000001
128 24 7000001
128 25 7000001
128 26 7000001
128 27 7000001
128 28 7000001
128 29 7000001
128 30 7000001
128 31 7000001
128 32 7000001
128 33 7000001
128 34 7000001
128 35 7000001
128 36 7000001
128 37 7000001
128 38 7000001
128 39 7000001
128 40 7000001
128 41 7000001
128 42 7000001
128 43 7000001
128 44 7000001
128 45 7000001
128 46 7000001
128 47 7000001
128 48 7000001
128 49 7000001
128 50 7000001
128 51 7000001
128 52 7000001
128 53 7000001
128 54 7000001
128 55 7000001
128 56 7000001
128 57 7000001
128 58 7000001
128 59 7000001
128 60 7000001
128 61 7000001
128 62 7000001
128 63 7000001
128 64 7000001
128 65 7000001
129 1 7000001
129 2 7000001
129 3 7000001
129 4 7000001
129 5 7000001
129 6 7000001
129 7 7000001
129 8 7000001
129 9 7000001
129 10 7000001
129 11 7000001
129 12 7000001
129 13 7000001
129 14 7000001
129 15 7000001
129 16 7000001
129 17 7000001
129 18 7000001
129 19 7000001
129 20 7000001
129 21 7000001
129 22 7000001
129 23 7000001
129 24 7000001
129 25 7000001
129 26 7000001
129 27 7000001
129 28 7000001
129 29 7000001
129 30 7000001
129 31 7000001
129 32 7000001
129 33 7000001
129 34 7000001
129 35 7000001
129 36 7000001
129 37 7000001
129 38 7000001
129 39 7000001
129 40 7000001
129 41 7000001
129 42 7000001
129 43 7000001
129 44 7000001
129 45 7000001
129 46 7000001
129 47 7000001
129 48 7000001
129 49 7000001
129 50 7000001
129 51 7000001
129 52 7000001
129 53 7000001
129 54 7000001
129 55 7000001
129 56 7000001
129 57 7000001
129 58 7000001
129 59 7000001
129 60 7000001
129 61 7000001
129 62 7000001
129 63 7000001
129 64 7000001
129 65 7000001
time: 2800000000
128 1 8000001
128 2 8000001
128 3 8000001
128 4 8000001
128 5 8000001
128 6 8000001
128 7 8000001
128 8 8000001
128 9 8000001
128 10 8000001
128 11 8000001
128 12 8000001
128 13 8000001
128 14 8000001
128 15 8000001
128 16 8000001
128 17 8000001
128 18 8000001
128 19 8000001
128 20 8000001
128 21 8000001
128 22 8000001
128 23 8000001
128 24 8000001
128 25 8000001
128 26 8000001
128 27 8000001
128 28 8000001
128 29 8000001
128 30 8000001
128 31 8000001
128 32 8000001
128 33 8000001
128 34 8000001
128 35 8000001
128 36 8000001
128 37 8000001
128 38 8000001
128 39 8000001
128 40 8000001
128 41 8000001
128 42 8000001
128 43 8000001
128 44 8000001
128 45 8000001
128 46 8000001
128 47 8000001
128 48 8000001
128 49 8000001
128 50 8000001
128 51 8000001
128 52 8000001
128 53 8000001
128 54 8000001
128 55 8000001
128 56 8000001
128 57 8000001
128 58 8000001
128 59 8000001
128 60 8000001
128 61 8000001
128 62 8000001
128 63 8000001
128 64 8000001
128 65 8000001
129 1 8000001
129 2 8000001
129 3 8000001
129 4 8000001
129 5 8000001
129 6 8000001
129 7 8000001
129 8 8000001
129 9 8000001
129 10 8000001
129 11 8000001
129 12 8000001
129 13 8000001
129 14 8000001
129 15 8000001
129 16 8000001
129 17 8000001
129 18 8000001
129 19 8000001
129 20 8000001
129 21 8000001
129 22 8000001
129 23 8000001
129 24 8000001
129 25 8000001
129 26 8000001
129 27 8000001
129 28 8000001
129 29 8000001
129 30 8000001
129 31 8000001
129 32 8000001
129 33 8000001
129 34 8000001
129 35 8000001
129 36 8000001
129 37 8000001
129 38 8000001
129 39 8000001
129 40 8000001
129 41 8000001
129 42 8000001
129 43 8000001
129 44 8000001
